"File","LOC","Coverage"
"Analytics\SystemBehavior\dataanalyzer\filetasks_mstest\testsharepointcrawler.cs","4","100"
"Analytics\SystemBehavior\dataanalyzer\filetasks_mstest\testminidumpcrawler.cs","36","91.66666"
"Analytics\SystemBehavior\dataanalyzer\filetasks_mstest\testzipcontentcrawler.cs","30","83.33334"
"Analytics\SystemBehavior\dataanalyzer\filetasks_mstest\testfilestatecollector.cs","36","91.66666"
"Analytics\SystemBehavior\dataanalyzer\filetasks_mstest\testsystemmonitorlogcrawler.cs","29","96.55173"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\description.cs","12","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\callstackdescription.cs","3","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\dbcontextoptionsextension.cs","6","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\taskbase.cs","28","85.71429"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\baselinedescription.cs","4","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\dumpanalyzing\dumpbasicinformation.cs","6","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\dumpanalyzing\contextalgorithm.cs","389","78.66324"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\dumpanalyzing\minidumpdebug.cs","60","88.33334"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\dumpanalyzing\dumpproductversion.cs","4","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\management\dependencydescription.cs","3","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\management\taskdescription.cs","5","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\productdescription.cs","3","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\framedescription.cs","5","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\crashdescription.cs","11","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\featuredescription.cs","3","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\featureusagedescription.cs","3","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\jobdescription.cs","9","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\linkdescription.cs","4","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\machinedescription.cs","3","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\management\platformdescription.cs","4","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\management\scheduledescription.cs","6","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\crashoperationdescription.cs","6","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\processdescription.cs","5","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\rundescription.cs","5","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\tooldescription.cs","5","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\toolusagedescription.cs","3","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\analytics\analyticscontext.cs","35","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\smloganalyzing\logrowinfo.cs","40","97.5"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\staging\dumpinformationdescription.cs","13","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\management\managementcontext.cs","12","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\staging\filestatedescription.cs","6","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\staging\stagingcontext.cs","11","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\arguments.cs","59","91.52542"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\helper.cs","61","93.44262"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\limitedtaskscheduler.cs","35","71.42857"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\logfilelistener.cs","35","94.28571"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\longpathsupport.cs","72","90.27778"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\stringcaseinsensitivecomparer.cs","3","100"
"Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\staging\systemmonitorlogdescription.cs","5","100"
"Analytics\SystemBehavior\databaseaccess\analyticsmanagement\analyticsservice.cs","14","0"
"Analytics\SystemBehavior\databaseaccess\analyticsmanagement\platformmanagement.cs","88","62.5"
"Analytics\SystemBehavior\databaseaccess\analyticsregister\program.cs","172","83.13953"
"Analytics\SystemBehavior\databaseaccess\analyticstask\program.cs","55","63.63636"
"Analytics\SystemBehavior\dataanalyzer\contexttasks\logcrashanalyzer.cs","108","85.18519"
"Analytics\SystemBehavior\dataanalyzer\contexttasks\logcrashoperationanalyzer.cs","99","88.88889"
"Analytics\SystemBehavior\dataanalyzer\contexttasks\dumpcontextanalyzer.cs","140","83.57143"
"Analytics\SystemBehavior\dataanalyzer\contexttasks\logfeatureanalyzer.cs","113","82.30089"
"Analytics\SystemBehavior\dataanalyzer\contexttasks\logjobrunanalyzer.cs","163","95.70552"
"Analytics\SystemBehavior\dataanalyzer\contexttasks\logtoolanalyzer.cs","97","91.75258"
"Analytics\SystemBehavior\dataanalyzer\contexttasks\dumpsourceanalyzer.cs","21","100"
"Analytics\SystemBehavior\dataanalyzer\contexttasks\tfslookup.cs","86","90.69768"
"Analytics\SystemBehavior\dataanalyzer\filetasks\dumpcontentanalyzer.cs","78","85.89744"
"Analytics\SystemBehavior\dataanalyzer\filetasks\filestatecollector.cs","193","74.6114"
"Analytics\SystemBehavior\dataanalyzer\filetasks\minidumpcrawler.cs","101","82.17822"
"Analytics\SystemBehavior\dataanalyzer\filetasks\sharefoldercrawler.cs","39","66.66666"
"Analytics\SystemBehavior\dataanalyzer\filetasks\sharepointcrawler.cs","41","68.29269"
"Analytics\SystemBehavior\dataanalyzer\filetasks\systemmonitorlogcrawler.cs","128","81.25"
"Analytics\SystemBehavior\dataanalyzer\filetasks\zipcontentcrawler.cs","69","84.05797"
"Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudModule_MsTest\testCalculator.cs","103","100"
"Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudService_MsTest\MBTFServiceTest.cs","97","100"
"Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\Calculator.cs","420","96.43"
"Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\DTO.cs","39","100"
"Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\MySQLAccessor.cs","59","0"
"Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Models\mtbfDto.cs","33","75"
"Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Services\IMBTFService.cs","13","100"
"Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Services\MBTFService.cs","44","100"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\schematicgraphicbase.cs","6","66.66666"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\featurelayervisibilitytobooleanconverter.cs","8","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\schematicitem.cs","7","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\schematicmapmaster.cs","66","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\schematicappdataforfailedappduringloading.cs","12","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\schematicappdatabase.cs","6","66.66666"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\mock\schematicappdatamock.cs","8","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\schematicmapview.xaml.cs","59","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\propertychangednotificationbase.cs","14","92.85714"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\failedtoloadflowlinecomponentsign.xaml.cs","9","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\relaycommand.cs","13","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\schematicgraphicforfailedappduringloading.cs","3","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\trainingmodesettingpanel.xaml.cs","6","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\classcreationsource.cs","22","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\featureloadingexception.cs","6","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\mockfeaturemaster.cs","5","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\featureswitch.cs","12","91.66666"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\schematicgraphicforfailedappduringloading.designer.cs","7","0"
"hzapplications\common\apltoolstringschematic\toolstringschematicmap\tooldatabase.cs","4","100"
"hzapplications\mdt\mdtflowline\mrpcflowline\mrpcflowlineinfo.cs","11","81.81818"
"hzapplications\mdt\mdtflowline\mrpcflowline\mrpcflowlineensembleinfo.cs","11","90.90909"
"hzapplications\mdt\mdtflowline\mrpcflowline\mrpcflowlineinternal.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\mrpcflowline\properties\settings.designer.cs","2","0"
"hzapplications\mdt\mdtflowline\mrpcflowline\mrpcflowlineinfo.iflowdirectioninfo.cs","9","88.88889"
"hzapplications\mdt\mdtflowline\flowlineintegratemstest\flowlinetesttoolstringbnposcpc.cs","86","100"
"hzapplications\mdt\mdtflowline\flowlineintegratemstest\flowlinetesttoolstringbnpapopc.cs","59","100"
"hzapplications\mdt\mdtflowline\flowlineintegratemstest\flowlinetesttoolstringbnpc.cs","21","100"
"hzapplications\mdt\mdtflowline\flowlineintegratemstest\flowlinetesttoolstringbnscpc.cs","35","100"
"hzapplications\mdt\mdtflowline\flowlineintegratemstest\flowlinetesttoolstringbnsfpopc.cs","43","100"
"hzapplications\mdt\mdtflowline\flowlineintegratemstest\flowlinetesttoolstringbnscposcmspc.cs","58","100"
"hzapplications\mdt\mdtflowline\flowlineintegratemstest\flowlinetesttoolstringbnscpoposcpc.cs","102","100"
"hzapplications\mdt\mdtflowline\flowlineintegratemstest\flowlinetesttoolstringbnpohypspc.cs","45","100"
"hzapplications\mdt\mdtflowline\mrpoflowline\mrpoflowlineconnectivityviewmodel.cs","79","93.67088"
"hzapplications\mdt\mdtflowline\mrpoflowline\mrpoflowlineinfo.cs","55","87.27273"
"hzapplications\mdt\mdtflowline\mrpoflowline\mrpoflowlineinfo.flowdirection.cs","124","81.45161"
"hzapplications\mdt\mdtflowline\mrpoflowline\mrpoflowlineinternal.xaml.cs","49","93.87755"
"hzapplications\mdt\mdtflowline\mrpoflowline\mrpoflowlinedata.cs","68","92.64706"
"hzapplications\mdt\mdtflowline\mrpoflowline\mrposettings.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\mrpoflowline\mrpoflowlineensembleinfo.cs","30","73.33334"
"hzapplications\mdt\mdtflowline\mrpoflowline\properties\settings.designer.cs","2","0"
"hzapplications\mdt\mdtflowline\packerflowline\packerflowlinedata.cs","20","100"
"hzapplications\mdt\mdtflowline\packerflowline\packerflowlineconnectivityviewmodel.cs","51","90.19608"
"hzapplications\mdt\mdtflowline\packerflowline\packerflowlineconnectivityinfo.cs","51","90.19608"
"hzapplications\mdt\mdtflowline\packerflowline\packerflowlineconnectivityinfo.flowdirection.cs","38","89.47369"
"hzapplications\mdt\mdtflowline\packerflowline\mrsfflowlineconnectivityinfo.cs","40","90"
"hzapplications\mdt\mdtflowline\packerflowline\packerflowlinedatawithdatafeed.cs","46","84.78261"
"hzapplications\mdt\mdtflowline\packerflowline\mrsfflowlineinternal.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\packerflowline\packersettings.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\packerflowline\mrpaflowlineinternal.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\packerflowline\mrsrflowlineinternal.xaml.cs","3","0"
"hzapplications\mdt\mdtflowline\packerflowline\packerflowlineensembleinfobase.cs","20","85"
"hzapplications\mdt\mdtflowline\packerflowline\properties\settings.designer.cs","2","0"
"hzapplications\mdt\mdtflowline\packerflowline\packerflowlineinternalviewmodel.cs","2","100"
"hzapplications\mdt\mdtflowline\packerflowline\mrpaflowlineensembleinfo.cs","12","91.66666"
"hzapplications\mdt\mdtflowline\packerflowline\mrsrflowlineensembleinfo.cs","12","0"
"hzapplications\mdt\mdtflowline\packerflowline\mrsfflowlineensembleinfo.cs","12","91.66666"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymap\graphsolver\graphsolver.cs","75","88"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymap\toolflowdirection.cs","72","51.38889"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymap\flowlineconnectionfactory.cs","12","83.33334"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymap\toolflowhelper.cs","7","0"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymap\flowlineconnection.cs","15","80"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymap\flowlineconnectivityinfo.cs","22","95.45454"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymap\graphsolver\connection.cs","2","100"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymap\graphsolver\node.cs","4","100"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymap\flowlinemapsetting.cs","2","0"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\sharedmdtflowlinestyle.cs","11","90.90909"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\sealvalveusercontrol.xaml.cs","12","100"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\mdtflowlineconnectivityviewmodelbase.cs","15","66.66666"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\booleantovisibilityconverterex.cs","14","85.71429"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\mdtflowlineconnectivityinfobase.flowdirection.cs","9","100"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\aplbits.cs","6","100"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\mdtflowlineconnectivityinfobase.cs","5","100"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\properties\settings.designer.cs","2","0"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\notoperator.cs","6","66.66666"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\objectvaluetovisibilityconverterex.cs","7","85.71429"
"hzapplications\mdt\mdtflowline\mdtflowlineshared\mdtbottleconfighelper.cs","8","100"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowlineconnectivitymapmaster.ischematicmapfeaturemaster.cs","61","86.88525"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowdirtool\graphcolorer.cs","58","89.65517"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\mock\solidbrushflowlinestylermock.cs","8","100"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\stylers\solidbrushflowlinestyler.cs","75","89.33334"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\stylers\flowlinestylerwithsamplinghighlight.cs","14","14.28571"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\stylers\flowlinestylers.cs","25","88"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowdirectionmapmaster.cs","71","84.50704"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowdirtool\flowdirsolver.cs","288","86.11111"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\mock\mockconnectionwithconstantflowflowlineinfo.cs","49","87.7551"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowlineconnectivitymapmaster.cs","198","85.35354"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\mock\flowdirectionmodelmock.cs","14","100"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowdirtool\flowdirectionmodel.cs","48","85.41666"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowdirtool\nodeconnectionmap.cs","23","73.91304"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowdirtool\nodestatus.cs","5","80"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowlineconnectivitymapmastersettingview.xaml.cs","5","80"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowlineconnectioninfo.cs","9","77.77778"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowdirtool\nodevalue.cs","5","100"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowdirtool\externalnodevalue.cs","5","100"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\mock\mockconnectionwithconstantflow.cs","12","100"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\stylers\flowlinestylerbase.cs","10","80"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\mock\flowlineconnectivitymapmastermock.cs","11","100"
"hzapplications\common\apltoolstringschematic\features\flowlineconnectivitymapmaster\flowdirtool\directionalconnection.cs","2","50"
"hzapplications\mdt\mdtflowline\mrbnflowline\mrbnflowlineinternal.flowlineconnectivity.cs","26","57.69231"
"hzapplications\mdt\mdtflowline\mrbnflowline\mrbnflowlineconnectivityinfo.cs","25","68"
"hzapplications\mdt\mdtflowline\mrbnflowline\mrbnflowlinedata.cs","24","50"
"hzapplications\mdt\mdtflowline\mrbnflowline\mrbnflowlineensembleinfo.cs","36","77.77778"
"hzapplications\mdt\mdtflowline\mrbnflowline\mrbnsettings.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\mrbnflowline\mrbnflowlineinternal.xaml.cs","7","85.71429"
"hzapplications\mdt\mdtflowline\mrbnflowline\properties\settings.designer.cs","2","0"
"hzapplications\mdt\mdtflowline\mrbnflowline\mrbnflowlineconnectivityinfo.iflowdirectioninfo.cs","13","76.92308"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsflowlineconnectivityviewmodel.cs","77","89.61039"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsflowlineconnectivityinfo.cs","46","80.43478"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsflowlinedata.cs","120","79.16666"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsbottledata.cs","25","100"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsflowlineinternalviewmodel.cs","6","100"
"hzapplications\mdt\mdtflowline\mrmsflowline\mpsrflowlineinternal.xaml.cs","12","25"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsflowlinesettings.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsflowlineinternal.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsflowlineensembleinfo.cs","30","73.33334"
"hzapplications\mdt\mdtflowline\mrmsflowline\properties\settings.designer.cs","2","0"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsflowlineconnectivityinfo.flowdirection.cs","67","89.55224"
"hzapplications\mdt\mdtflowline\mrmsflowline\mrmsbottleintakestyleviewmodel.cs","4","50"
"hzapplications\mdt\mdtflowline\mrscflowline\mrscflowlineconnectivityviewmodel.cs","31","90.32258"
"hzapplications\mdt\mdtflowline\mrscflowline\mrscflowlineinfo.cs","36","88.88889"
"hzapplications\mdt\mdtflowline\mrscflowline\mrscflowlinedata.cs","79","93.67088"
"hzapplications\mdt\mdtflowline\mrscflowline\mrscflowlineinternal.xaml.cs","8","100"
"hzapplications\mdt\mdtflowline\mrscflowline\mrscsettings.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\mrscflowline\mrscflowlineensembleinfo.cs","30","73.33334"
"hzapplications\mdt\mdtflowline\mrscflowline\properties\settings.designer.cs","2","0"
"hzapplications\mdt\mdtflowline\mrscflowline\mrscflowlineinfo.flowdirection.cs","20","80"
"hzapplications\mdt\mdtflowline\mrpsflowline\mrpsflowlineconnectivityviewmodel.cs","34","82.35294"
"hzapplications\mdt\mdtflowline\mrpsflowline\mrpsflowlineconnectivityinfo.cs","46","84.78261"
"hzapplications\mdt\mdtflowline\mrpsflowline\mrpsflowlineensembleinfo.cs","30","60"
"hzapplications\mdt\mdtflowline\mrpsflowline\mrpsflowlinedata.cs","52","80.76923"
"hzapplications\mdt\mdtflowline\mrpsflowline\mrpssettings.xaml.cs","3","100"
"hzapplications\mdt\mdtflowline\mrpsflowline\mrpsflowlineinternal.xaml.cs","5","100"
"hzapplications\mdt\mdtflowline\mrpsflowline\mrpsflowlineconnectivityinfo.flowdirection.cs","24","83.33334"
"hzapplications\mdt\mdtflowline\mrpsflowline\properties\settings.designer.cs","2","0"
"hzapplications\mdt\mdtflowline\mdtthruflowline\mdtthruflowlineconnectivityviewmodel.cs","23","52.17391"
"hzapplications\mdt\mdtflowline\mdtthruflowline\mdtthruflowlineconnectivityinfo.cs","15","66.66666"
"hzapplications\mdt\mdtflowline\mdtthruflowline\mdtthruflowlineensembleinfo.iflowlineconnectivityappdata.cs","17","52.94118"
"hzapplications\mdt\mdtflowline\mdtthruflowline\mdtthruflowlineinternal.xaml.cs","7","85.71429"
"hzapplications\mdt\mdtflowline\mdtthruflowline\mdtthruflowlineensembleinfo.ischematicmapappdata.cs","11","45.45454"
"hzapplications\mdt\mdtflowline\mdtthruflowline\properties\settings.designer.cs","2","0"
"hzapplications\mdt\mdtflowline\mdtthruflowline\mdtthruflowlineconnectivityinfo.flowdirection.cs","8","75"
"hzapplications\mdt\mdtflowline\mdtthruflowline\mdtthruflowlineensembleinfo.cs","1","0"
"hzproductsapi\uiframework\uiimpl\uiimpl.cs","860","13.25581"
"hzproductsapi\uiframework\uiimpl\uirigtimezoneextension.cs","23","30.43478"
"hzproductsapi\uiframework\uiimpl\uibase.cs","6","100"
"hzproductsapi\workflowconfigmanager\workflowconfig.cs","78","58.97436"
"hzproductsapi\workflowconfigmanager\sessiontypefeatureenabler.cs","33","12.12121"
"hzproductsapi\workflowconfigmanager\sessionwellservices.cs","27","3.703704"
"hzproductsapi\workflowconfigmanager\sessionwireline.cs","24","29.16667"
"hzproductsapi\workflowconfigmanager\sessionwirelineperfoexpress.cs","25","8"
"hzproductsapi\workflowconfigmanager\sessionwirelinerecordedmode.cs","24","12.5"
"hzproductsapi\workflowconfigmanager\sessiondrilling.cs","23","8.695652"
"hzproductsapi\workflowconfigmanager\workflowconfigexception.cs","1","0"
"hzproductsapi\workflowconfigmanager\sessionwirelineall.cs","1","0"
"hzproducts\genericcomponents\customuibase\taskdef.cs","314","3.184713"
"hzproducts\genericcomponents\customuibase\customuibase.cs","914","14.44201"
"hzproducts\genericcomponents\customuibase\parameterdef.cs","2066","15.29526"
"hzproducts\genericcomponents\customuibase\parametermodel.cs","74","0"
"hzproducts\genericcomponents\customuibase\customuibasemodelhelper.cs","283","83.03887"
"hzproducts\genericcomponents\customuibase\channelrangevalidationfailure.cs","13","0"
"hzproducts\genericcomponents\customuibase\customuitaskhelper.cs","156","6.410256"
"hzproducts\genericcomponents\customuibase\datagaugedef.cs","8","50"
"hzproducts\genericcomponents\customuibase\messagedef.cs","17","0"
"hzproducts\genericcomponents\customuibase\channeltimerange.cs","12","0"
"hzapplications\common\shareduicomp\aplmodel\aplmeasureddata.cs","301","76.74419"
"hzapplications\common\shareduicomp\aplmodel\aplconvert.cs","187","76.47059"
"hzapplications\common\shareduicomp\aplmodel\aplparametercollection.cs","148","60.13514"
"hzapplications\common\shareduicomp\aplmodel\aplchannel.cs","487","68.7885"
"hzapplications\common\shareduicomp\aplmodel\apldataacquisitionrun.cs","73","60.27397"
"hzapplications\common\shareduicomp\aplmodel\aplsummaryrecord.cs","98","55.10204"
"hzapplications\common\shareduicomp\aplmodel\aplunitinfo.cs","96","73.95834"
"hzapplications\common\shareduicomp\aplmodel\aplequipment.cs","433","91.45496"
"hzapplications\common\shareduicomp\aplmodel\apluiadaptor.cs","28","64.28571"
"hzapplications\common\shareduicomp\aplmodel\aplchannelset.cs","104","72.11539"
"hzapplications\common\shareduicomp\aplmodel\aplensemble.cs","142","59.15493"
"hzapplications\common\shareduicomp\aplmodel\aplvariantdata.cs","126","80.95238"
"hzapplications\common\shareduicomp\aplmodel\apldebugfacility.cs","31","100"
"hzapplications\common\shareduicomp\aplmodel\apltoolelementcollection.cs","17","0"
"hzapplications\common\shareduicomp\aplmodel\apldataaccesscontext.cs","32","71.875"
"hzapplications\common\shareduicomp\aplmodel\apldatalimits.cs","82","92.68293"
"hzapplications\common\shareduicomp\aplmodel\aplcalibration.cs","94","0"
