"path","filename","lineNumber","line"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","41","        private ISlbDscSummaryRecordCollection m_SumRecColl = null;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","42","        private ISlbDscParameterCollection m_ParamColl = null;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","43","        private ISlbDscEnsembleCollection m_EnsembleColl = null;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","107","            m_DscQuery = new DscQuery();"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","113","        public DSClients.ISlbWellLogDocument WellLogDocument"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","131","            m_SumRecColl = m_Wld.GetCollection(DscDocumentCollectionTokens.DSC_COL_SUMMARY_RECORD, false) as ISlbDscSummaryRecordCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","132","            m_ParamColl = m_Wld.GetCollection(DscDocumentCollectionTokens.DSC_COL_PARAMETER, false) as ISlbDscParameterCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","133","            m_EnsembleColl = m_Wld.GetCollection(DscDocumentCollectionTokens.DSC_COL_ENSEMBLE, false) as ISlbDscEnsembleCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","220","                    DscQuery sumRecQuery = new DscQuery();"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","222","                    sumRecQuery.PutItem(SummaryRecordTokens.OSDDCODE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, ""BORDYN_RESULTS"");"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","225","                    DscSort pSort = new DscSort();"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","226","                    pSort.PutItem(SummaryRecordTokens.LASTUPDATE, -1, CollectionSortingOrder_t.SORTING_ORDER_ASCENDING);"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","360","                    m_DscQuery.PutItem(EnsembleTokens.WORKSPACEGUID, -1, DscQueryType_t.DSC_QUERY_EQUALTO, workspaceguid);"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","364","                    m_DscQuery.PutItem(ParameterTokens.ENTITYGUID, -1, DscQueryType_t.DSC_QUERY_IN, RunEnsembles);"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","365","                    m_DscQuery.PutItem(ParameterTokens.OSDDCODE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, OSDD);"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableDataProvider.cs","BorDynCoefficientTableDataProvider.cs","366","                    m_DscQuery.PutItem(ParameterTokens.INDEXOSDDCODE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, ""TIME_1900"");"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","35","            ((BorDynCoefficientAllTableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","37","            ((BorDynCoefficientAllTableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","68","            ((BorDynCoefficient01TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","70","            ((BorDynCoefficient01TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","100","            ((BorDynCoefficient02TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","102","            ((BorDynCoefficient02TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","132","            ((BorDynCoefficient03TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","134","            ((BorDynCoefficient03TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","164","            ((BorDynCoefficient04TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","166","            ((BorDynCoefficient04TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","196","            ((BorDynCoefficient05TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","198","            ((BorDynCoefficient05TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","228","            ((BorDynCoefficient06TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","230","            ((BorDynCoefficient06TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","260","            ((BorDynCoefficient07TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","262","            ((BorDynCoefficient07TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","292","            ((BorDynCoefficient08TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","294","            ((BorDynCoefficient08TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","324","            ((BorDynCoefficient09TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","326","            ((BorDynCoefficient09TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","356","            ((BorDynCoefficient10TableDataProvider)m_TableDataProvider).WellLogDocument = this.GetDocument(""Well_Log_Document"") as ISlbWellLogDocument;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCoefficientTableViewer.cs","BorDynCoefficientTableViewer.cs","358","            ((BorDynCoefficient10TableDataProvider)m_TableDataProvider).m_LAPColl = this.m_LAPColl as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynCustomTables\BorDynCustomTableProperty.cs","BorDynCustomTableProperty.cs","143","                ISlbDscCollection pLAPColl = null;"
"HzApplications\BORDYN\BorDynUI\BorDynNewChannelSelector.cs","BorDynNewChannelSelector.cs","231","            DSClients.ISlbDscRepresentationCollection repColl,"
"HzApplications\BORDYN\BorDynUI\BorDynNewChannelSelector.cs","BorDynNewChannelSelector.cs","271","        public readonly   DSClients.ISlbWellLogDocument WLD = null;"
"HzApplications\BORDYN\BorDynUI\BorDynNewChannelSelector.cs","BorDynNewChannelSelector.cs","272","        public ChanSelectOKEventArgs(string[] GUIDs, DSClients.ISlbWellLogDocument iWLD, Slb.Horizon.XYZPlot.Core.PlotModel.XYZPlot plot,XYZGraph graph,int openMode)"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","72","		private DSClients.ISlbWellLogDocument m_WLD = null;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","74","        private DSClients.ISlbDscParameterCollection m_ParameterColl;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","75","        private DSClients.ISlbDscCollection m_STATION_Coll;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","76","        private DSClients.ISlbDscLogicalAcqPassCollection m_LogicalAcqPassColl;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","77","        private DSClients.ISlbDscTaskRunCollection m_TaskRunColl;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","78","        private DSClients.ISlbDscSummaryRecordCollection m_SummaryRecordColl;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","1369","                    as ISlbDscLogicalAcqPassCollection;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","1377","                    as ISlbDscParameterCollection;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","1392","                    as ISlbDscTaskRunCollection; ;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","1399","                    as ISlbDscSummaryRecordCollection; ;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2633","            DSClients.DscQuery l_ParamQuery = null;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2639","            l_ParamQuery.PutItem(Slb.Horizon.Framework.Dsc.SummaryRecordTokens.OSDDCODE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, ""BDYN_INTERNAL"");"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2643","            DscSort pSort = new DscSort();"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2644","            pSort.PutItem(SummaryRecordTokens.LASTUPDATE, -1, CollectionSortingOrder_t.SORTING_ORDER_ASCENDING);"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2691","            DSClients.DscQuery l_ParamQuery = null;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2697","            l_ParamQuery.PutItem(Slb.Horizon.Framework.Dsc.SummaryRecordTokens.OSDDCODE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, ""BORDYN_RESULTS"");"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2701","            DscSort pSort = new DscSort();"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2702","            pSort.PutItem(SummaryRecordTokens.LASTUPDATE, -1, CollectionSortingOrder_t.SORTING_ORDER_ASCENDING);"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2752","                DSClients.DscQuery l_ParamQuery = null;"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2758","                l_ParamQuery.PutItem(Slb.Horizon.Framework.Dsc.SummaryRecordTokens.OSDDCODE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, ""BORDYN_RESULTS"");"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2761","                DscSort pSort = new DscSort();"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2762","                pSort.PutItem(SummaryRecordTokens.LASTUPDATE, -1, CollectionSortingOrder_t.SORTING_ORDER_ASCENDING);"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2831","            DSClients.DscQuery l_ParamQuery = new DSClients.DscQuery();"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2832","            DSClients.DscSort pSort = new DscSort();"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2839","            l_ParamQuery.PutItem(LogicalAcqPassTokens.LAPTYPE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, ""Station"");"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2840","            l_ParamQuery.PutItem(LogicalAcqPassTokens.LAPSTATUSTYPE, -1, DscQueryType_t.DSC_QUERY_IN, statusTypes);"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2841","            pSort.PutItem(LogicalAcqPassTokens.CREATEDATE, -1, CollectionSortingOrder_t.SORTING_ORDER_DESCENDING);"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2875","            DSClients.DscQuery l_ParamQuery = new DSClients.DscQuery();"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2876","            DSClients.DscSort pSort = new DscSort();"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2883","            l_ParamQuery.PutItem(LogicalAcqPassTokens.LAPTYPE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, ""Station"");"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2884","            l_ParamQuery.PutItem(LogicalAcqPassTokens.LAPSTATUSTYPE, -1, DscQueryType_t.DSC_QUERY_IN, statusTypes);"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2885","            pSort.PutItem(LogicalAcqPassTokens.CREATEDATE, -1, CollectionSortingOrder_t.SORTING_ORDER_DESCENDING);"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2916","            DSClients.DscQuery l_ParamQuery = new DSClients.DscQuery();"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2917","            DSClients.DscSort pSort = new DscSort();"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2924","            l_ParamQuery.PutItem(LogicalAcqPassTokens.LAPTYPE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, ""Station"");"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2925","            l_ParamQuery.PutItem(LogicalAcqPassTokens.LAPSTATUSTYPE, -1, DscQueryType_t.DSC_QUERY_IN, statusTypes);"
"HzApplications\BORDYN\BorDynUI\BorDynUI.cs","BorDynUI.cs","2926","            pSort.PutItem(LogicalAcqPassTokens.CREATEDATE, -1, CollectionSortingOrder_t.SORTING_ORDER_ASCENDING);"
"HzApplications\BORDYN\BorDynUI\ComparativePlot.cs","ComparativePlot.cs","44","        private DSClients.ISlbWellLogDocument m_WLD = null;"
"HzApplications\BORDYN\BorDynUI\ComparativePlot.cs","ComparativePlot.cs","119","		public void Initialize(DSClients.ISlbWellLogDocument wld, string DisplayUnitSystem )"
"HzApplications\BORDYN\BorDynUI\DiagnosticPlot.cs","DiagnosticPlot.cs","39","		private DSClients.ISlbWellLogDocument m_WLD = null;"
"HzApplications\BORDYN\BorDynUI\DiagnosticPlot.cs","DiagnosticPlot.cs","139","		public void Initialize(DSClients.ISlbWellLogDocument wld, string DisplayUnitSystem )"
"HzApplications\BORDYN\BorDynUI\EarlyStoragePlot.cs","EarlyStoragePlot.cs","48","        private DSClients.ISlbWellLogDocument m_WLD = null;"
"HzApplications\BORDYN\BorDynUI\EarlyStoragePlot.cs","EarlyStoragePlot.cs","154","        public void Initialize(DSClients.ISlbWellLogDocument wld, string DisplayUnitSystem)"
"HzApplications\BORDYN\BorDynUI\Interaction.cs","Interaction.cs","29","                                         DSClients.ISlbWellLogDocument wld) : base(comp)"
"HzApplications\BORDYN\BorDynUI\Interaction.cs","Interaction.cs","302","		public DiagnosticPlotInteraction(XYZComponent comp, DiagnosticPlot BdPlot2, DSClients.ISlbWellLogDocument wld) : base(comp)"
"HzApplications\BORDYN\BorDynUI\Interaction.cs","Interaction.cs","454","        public MiddleIARFPlotInteraction(XYZComponent comp, MiddleIARFPlot BdPlot2, DSClients.ISlbWellLogDocument wld)"
"HzApplications\BORDYN\BorDynUI\Interaction.cs","Interaction.cs","610","        public EarlyStoragePlotInteraction(XYZComponent comp, EarlyStoragePlot BdPlot2, DSClients.ISlbWellLogDocument wld)"
"HzApplications\BORDYN\BorDynUI\MiddleIARFPlot.cs","MiddleIARFPlot.cs","48","		private DSClients.ISlbWellLogDocument m_WLD = null;"
"HzApplications\BORDYN\BorDynUI\MiddleIARFPlot.cs","MiddleIARFPlot.cs","159","		public void Initialize(DSClients.ISlbWellLogDocument wld, string DisplayUnitSystem )"
"HzApplications\BORDYN\BorDynUI\SpecializedPlot.cs","SpecializedPlot.cs","44","		private DSClients.ISlbWellLogDocument m_WLD = null;"
"HzApplications\BORDYN\BorDynUI\SpecializedPlot.cs","SpecializedPlot.cs","136","		public void Initialize(DSClients.ISlbWellLogDocument wld, string DisplayUnitSystem )"
"HzApplications\BORDYN\BorDynUI\VersusTimePlot.cs","VersusTimePlot.cs","39","		private DSClients.ISlbWellLogDocument m_WLD = null;"
"HzApplications\BORDYN\BorDynUI\VersusTimePlot.cs","VersusTimePlot.cs","588","		public void Initialize(DSClients.ISlbWellLogDocument wld, string DisplayUnitSystem )"
"HzApplications\BORDYN\BorDynUI\VersusTimePlot.cs","VersusTimePlot.cs","1817","            DSClients.ISlbDscRepresentationCollection representationCollection = m_WLD.GetCollection(DscDocumentCollectionTokens.DSC_COL_REPRESENTATION, true) as DSClients.ISlbDscRepresentationCollection;"
"HzApplications\BORDYN\BorDynUI\VersusTimePlot.cs","VersusTimePlot.cs","1820","            m_NewChannelSelector.InitChannelSelector((DSClients.WellLogDocument)m_WLD, representationCollection, ""English"");"
"HzApplications\BORDYN\BorDynUI\VersusTimePlot.cs","VersusTimePlot.cs","2019","                DSClients.ISlbDscRepresentationCollection RepCollection = null;"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","83","        private ISlbDscCollection m_LapColl;"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","84","        private ISlbDscCollection m_ParamColl;"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","107","            m_DscQuery.PutItem(LogicalAcqPassTokens.ACQDOMAINTYPE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, cIteratorInfo.Iterator);"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","112","                m_DscQuery.PutItem(LogicalAcqPassTokens.DARGUID, -1, DscQueryType_t.DSC_QUERY_EQUALTO, cIteratorInfo.Scope);"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","116","            m_DscQuery.PutItem(LogicalAcqPassTokens.LAPSTATUSTYPE, -1, DscQueryType_t.DSC_QUERY_IN, LapStatusArray);"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","118","            DscSort sortObj = new DscSort();"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","119","            sortObj.PutItem(LogicalAcqPassTokens.STARTTIME1900, -1, CollectionSortingOrder_t.SORTING_ORDER_ASCENDING);"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","194","                            m_DscQuery.PutItem(LogicalAcqPassTokens.ACQDOMAINTYPE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, iteratorInfo.Iterator);"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","196","                            m_DscQuery.PutItem(LogicalAcqPassTokens.GUID, -1, DscQueryType_t.DSC_QUERY_IN, updateLapGuidList.ToArray());"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","199","                                m_DscQuery.PutItem(LogicalAcqPassTokens.DARGUID, -1, DscQueryType_t.DSC_QUERY_EQUALTO, iteratorInfo.Scope);"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","271","                            ISlbDscCollection darCollection ="
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","277","                                m_DscQuery.PutItem(DataAcquisitionRunTokens.JOBGUID, -1, DscQueryType_t.DSC_QUERY_EQUALTO, iteratorInfo.Scope);"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","278","                                m_DscQuery.PutItem(DataAcquisitionRunTokens.DARSTATUSTYPE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, ""DAR_ACTIVE"");"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","318","                        m_DscQuery.PutItem(LogicalAcqPassTokens.ACQDOMAINTYPE, -1, DscQueryType_t.DSC_QUERY_EQUALTO, iteratorInfo.Iterator);"
"HzApplications\CMRTB\CMRTB_ComplexComponentController\CMRTB_ComplexComponentController.cs","CMRTB_ComplexComponentController.cs","319","                        m_DscQuery.PutItem(LogicalAcqPassTokens.GUID, -1, DscQueryType_t.DSC_QUERY_IN, updateLapGuidList.ToArray());"
