FileName, AdjustedDuplicateLOC
AppCore\EcoScope\SNGD\Code\NGD_comp.h,8
AppCore\EcoScope\SNGD\Code\NGD_main.cpp,48
AppCore\EcoScope\SNGD\Code\NGD_main.h,38
AppCore\EcoScope\SNGD\Code\NGD_QC.cpp,9
AppCore\EcoScope\SNGD\Code\NGD_QC.h,9
AppCore\EcoScope\SNGD\Code\NGD_uncomp.cpp,10
AppCore\EcoScope\SNGD\Code\NGD_uncomp.h,10
AppCore\EcoScope\SNGD\UnitTest\NGD_main_UnitTest.cpp,172
AppCore\EcoScope\SNGD\UnitTest\NGD_QC_UnitTest.cpp,94
AppCore\ECS\ecs_borehole_logic.cpp,9
AppCore\ECS\ECS_Common.h,10
AppCore\ECS\ECS_CompKernel.cpp,16
AppCore\ECS\ECS_CompKernel.h,16
AppCore\ECS\ecs_gainoffset.cpp,20
AppCore\ECS\ecs_oxideclosure.cpp,46
AppCore\ECS\ecs_prespectrolith.cpp,54
AppCore\ECS\ecs_prespectrolith.h,54
AppCore\ECS\ECS_Process_Fun.h,10
AppCore\ECS\ecs_redistribute.cpp,11
AppCore\ECS\ecs_spectrolith.cpp,85
AppCore\ECS\ecs_spectrolith.h,71
AppCore\ECS\ecs_spectrolith_acquisition.cpp,8
AppCore\ECS\ecs_spectrolith_playback.cpp,32
AppCore\ECS\ecs_standards.h,870
AppCore\ECS\ecs_uncertainty.cpp,30
AppCore\ECS\ecs_utilities.cpp,9
AppCore\ECS\marquardt.cpp,10
AppCore\ECS\matrix_inverse.cpp,11
AppCore\ECS\std_calibration.cpp,24
AppCore\EmitLib\EmitProcessing\MandrelProcessing\EmitB_C\include\algorithm\EMITB-Algo_ETHKComputation.h,138
AppCore\EmitLib\EmitProcessing\MandrelProcessing\EmitB_C\include\workflow\EMITB-Workflow.h,10
AppCore\EmitLib\EmitProcessing\MandrelProcessing\EmitB_C\include\workflow\EMITC-Workflow.h,10
AppCore\EmitLib\EmitProcessing_MicroTest\MandrelProcessing\EmitB_C\src\algorithm\EMITA-ZAttPhiComp_MICROTEST.cpp,21
AppCore\EmitLib\EmitProcessing_MicroTest\MandrelProcessing\EmitB_C\src\algorithm\EMITB-ETHKComp_MICROTEST.cpp,8
AppCore\EmitLib\EmitProcessing_MicroTest\MandrelProcessing\EmitB_C\src\algorithm\EMITB-ZAttPhiComp_MICROTEST.cpp,64
AppCore\EmitLib\EmitProcessing_MicroTest\MandrelProcessing\EmitB_C\src\algorithm\EMITC-ETHKComp_MICROTEST.cpp,39
AppCore\EmitLib\EmitProcessing_MicroTest\MandrelProcessing\EmitB_C\src\algorithm\EMITC-ZAttPhiComp_MICROTEST.cpp,51
AppCore\EmitLib\EmitProcessing_MicroTest\MandrelProcessing\EmitB_C\src\workflow\EMITA-Workflow_MICROTEST.cpp,13
AppCore\EmitLib\EmitProcessing_MicroTest\MandrelProcessing\EmitB_C\src\workflow\EMITB-Workflow_MICROTEST.cpp,51
AppCore\EmitLib\EmitProcessing_MicroTest\MandrelProcessing\EmitB_C\src\workflow\EMITC-Workflow_MICROTEST.cpp,82
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\algorithm\EMITA-ZAttPhiComp_UNITTEST.cpp,8
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\algorithm\EMITB-ETHKComp_TEST.cpp,129
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\algorithm\EMITB-ETHKComp_UNITTEST.cpp,46
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\algorithm\EMITB-ZAttPhiComp_TEST.cpp,678
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\algorithm\EMITB-ZAttPhiComp_UNITTEST.cpp,257
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\algorithm\EMITC-ETHKComp_TEST.cpp,189
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\algorithm\EMITC-ETHKComp_UNITTEST.cpp,58
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\algorithm\EMITC-ZAttPhiComp_TEST.cpp,600
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\algorithm\EMITC-ZAttPhiComp_UNITTEST.cpp,218
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\utils\AbstractAlgorithm_TEST.cpp,147
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\utils\AbstractInput_TEST.cpp,25
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\utils\AbstractInput_UNITTEST.cpp,25
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\workflow\EMITB-Workflow_TEST.cpp,68
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\workflow\EMITB-Workflow_UNITTEST.cpp,56
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\workflow\EMITC-Workflow_TEST.cpp,67
AppCore\EmitLib\EmitProcessing_UnitTest\MandrelProcessing\EmitB_C\src\workflow\EMITC-Workflow_UNITTEST.cpp,55
AppCore\HNGS\hngs_computation_kernel.cpp,41
AppCore\HNGS\hngs_computation_kernel.h,41
AppCore\HNGS\hngs_marq.cpp,9
AppCore\HNGS\hngs_marq.h,9
AppCore\HzDecisionXpress\Common\firstlook_define.h,318
AppCore\HzDecisionXpress\Common\firstlook_main.h,154
AppCore\Interpolation\Spline3D\Source\Wm5BSplineVolume.cpp,64
AppCore\Interpolation\Spline3D\Source\Wm5Memory.h,18
AppCore\LDS\Common\LDS_CommonExports.h,95
AppCore\LDS\HLDSD\HLDSD_ComputationDriver.cpp,44
AppCore\LDS\HLDSD\HLDSD_DensityRoutines.cpp,7
AppCore\LDS\HLDSD\HLDSD_DensityRoutines.h,7
AppCore\LDS\LDSB\LDSB_ComputationDriver.cpp,42
AppCore\LDS\LDSB\LDSB_DensityComputations.cpp,9
AppCore\LDS\LDSB\LDSB_DensityRoutines.cpp,14
AppCore\LDS\LDSB\LDSB_DensityRoutines.h,14
AppCore\LDS\LDSB\LDSB_PhotoElectricFactorRoutines.cpp,7
AppCore\LDS\LDSB\LDSB_PhotoElectricFactorRoutines.h,7
AppCore\LWD\lwd_density.cpp,21
AppCore\LWD\lwd_neutron.cpp,16
AppCore\PEX\HGNS\HgnsComputation.cpp,138
AppCore\PEX\HGNS\HgnsComputation.h,42
AppCore\PEX\HGNS\HgnsMisc.h,14
AppCore\Physics\Physics_Utility.cpp,23
AppCore\PL\fsi_ip_processing\fsiip_c.h,64
AppCore\PL\SPRINT\sprint2.h,16
AppCore\PL\SPRINT\SprintAlgorithm.cpp,35
AppCore\PL\SPRINT\SprintAlgorithm.h,35
AppCore\RST\RST_Marquardt.cpp,20
AppCore\RST\RST_Sigma_Computation.cpp,18
AppCore\RST\RST_Yields_Computation.h,11
AppCore\SLDT\SLDT_CompEngine.cpp,8
AppCore\SLDT\SLDT_CompEngine.h,8
AppCore\Sonic\cs_sonic\altdet.cpp,8
AppCore\Sonic\cs_sonic\altdet_nrutil.h,8
AppCore\Sonic\cs_sonic\Common\Clapack\include\f2c.h,76
AppCore\Sonic\cs_sonic\ElasticModuli_Algorithms.cpp,9
AppCore\Sonic\cs_sonic\hefmd.cpp,51
AppCore\Sonic\cs_sonic\hefmd.h,8
AppCore\Sonic\cs_sonic\hefmd_hilbenergydetect.cpp,32
AppCore\Sonic\cs_sonic\hefmd_linefitqc.cpp,47
AppCore\Sonic\cs_sonic\hefmd_test.cpp,20
AppCore\Sonic\cs_sonic\mast_mcal_filter.cpp,25
AppCore\Sonic\cs_sonic\MathUtility.h,34
AppCore\Sonic\cs_sonic\multidim_alloc_templates.h,8
AppCore\Sonic\cs_sonic\radprof_altdet.cc,54
AppCore\Sonic\cs_sonic\radprof_image.cc,19
AppCore\Sonic\cs_sonic\radprof_main.cc,10
AppCore\Sonic\cs_sonic\radprof_proc.cc,19
AppCore\Sonic\cs_sonic\rayprof_altdet.cc,54
AppCore\Sonic\cs_sonic\rayprof_class.cpp,54
AppCore\Sonic\cs_sonic\rp_main.cc,22
AutoUATest\AutomationTestWebAPI\DataAccessLayer\Models\TestCase\ToolSetTool.cs,9
AutoUATest\AutomationTestWebAPI\WebAPIs\App_Start\BundleConfig.cs,20
AutoUATest\AutomationTestWebAPI\WebAPIs\Areas\HelpPage\ApiDescriptionExtensions.cs,25
AutoUATest\AutomationTestWebAPI\WebAPIs\Areas\HelpPage\HelpPageConfigurationExtensions.cs,64
AutoUATest\AutomationTestWebAPI\WebAPIs\Areas\HelpPage\SampleGeneration\HelpPageSampleGenerator.cs,224
AutoUATest\AutomationTestWebAPI\WebAPIs\Areas\HelpPage\SampleGeneration\HelpPageSampleKey.cs,75
AutoUATest\AutomationTestWebAPI\WebAPIs\Areas\HelpPage\SampleGeneration\ObjectGenerator.cs,374
AutoUATest\AutomationTestWebAPI\WebAPIs\Areas\HelpPage\XmlDocumentationProvider.cs,36
AutoUATest\BulkdataDVWeb\BulkdataDVDataAccessLayer\DataAccessor.cs,74
AutoUATest\BulkdataDVWeb\BulkdataDVDataAccessLayer\PushBaselineToDB.cs,10
AutoUATest\BulkdataDVWeb\BulkdataDVDataAccessLayer\SqlConnectionUtility.cs,12
AutoUATest\BulkdataDVWeb\BulkdataDVLogicLayer.Tests\BulkdataDVResultAnalyserTest.cs,9
AutoUATest\BulkdataDVWeb\BulkdataDVLogicLayer\DataLogicProcessor.cs,20
AutoUATest\BulkdataDVWeb\BulkdataDVWeb\BulkDataDVDetailResult.aspx.cs,7
AutoUATest\BulkdataDVWeb\BulkdataDVWeb\Default.Master.cs,28
AutoUATest\BulkdataDVWeb\BulkdataDVWeb\FinalResultAnalyzer.cs,10
AutoUATest\BulkdataDVWeb\BulkdataDVWeb\FinalResultList.aspx.cs,21
AutoUATest\BulkdataDVWeb\BulkdataDVWeb\Paginator.cs,28
AutoUATest\DumpLdf\CompareVSIProj\Comparer.cs,47
AutoUATest\DumpLdf\CompareVSIProj\Program.cs,17
AutoUATest\DumpLdf\DumpLdf\ConverterHelper.cs,17
AutoUATest\DumpLdf\DumpLdf\LDF2CSVConverter.cs,16
AutoUATest\DumpLdf\DumpLdf\Program.cs,17
AutoUATest\DumpLdf\MsTest\DumpLdf_MsTest\FileCompare.cs,7
AutoUATest\DumpLdf\MsTest\DumpLdf_MsTest\LDF2CSVConverter_UnitTest.cs,18
AutoUATest\DumpLdf\MsTest\DumpLdf_MsTest\ProgramUnitTest.cs,25
AutoUATest\GenerateCSVFromCoverageData\ConvertCodeCoverageDatatoXML\Program.cs,11
AutoUATest\GenerateCSVFromCoverageData\VisualStudioMerge\Program.cs,11
AutoUATest\NewDataValidationWeb\AutoDataValidationWeb\Site.Master.cs,28
AutoUATest\NewDataValidationWeb\DVDataAccessLayer\DataAccessor.cs,8
AutoUATest\NewDataValidationWeb\NewAutoDataValidation\App_Start\BundleConfig.cs,20
AutoUATest\TCWeb\CaseGenerator\Generate.cs,7
AutoUATest\TCWeb\CaseGenerator\Web References\CaseGeneratorWebService\Reference.cs,63
AutoUATest\TCWeb\CaseRevert\RequestController.cs,56
AutoUATest\TCWeb\CaseRevert\SQLHelper.cs,155
AutoUATest\TCWeb\Controller\AutomationSQLHelper.cs,42
AutoUATest\TCWeb\Controller\DVSqlHelper.cs,10
AutoUATest\TCWeb\Controller\Executor.cs,23
AutoUATest\TCWeb\Controller\GetExcludedWorkflow.cs,34
AutoUATest\TCWeb\Controller\GetExclutableWorkflow.cs,20
AutoUATest\TCWeb\Controller\GetWorkflowRelatedTestCases.cs,9
AutoUATest\TCWeb\Controller\PerformanceMonitor.cs,28
AutoUATest\TCWeb\Controller\SMRSqlHelper.cs,25
AutoUATest\TCWeb\Controller\SQLHelper.cs,117
AutoUATest\TCWeb\Controller\WebReferences\HzPatchService\Reference.cs,18
AutoUATest\TCWeb\DeleteUnexpectedResults\RequestController.cs,56
AutoUATest\TCWeb\DeleteUnexpectedResults\SQLHelper.cs,155
AutoUATest\TCWeb\SharedFunctionForCaseWFResult\Common.cs,49
AutoUATest\TCWeb\SharedFunctionForCaseWFResult\PieChartProgram.cs,94
AutoUATest\TCWeb\SharedFunctionForCaseWFResult\SQLHelper.cs,89
AutoUATest\TCWeb\TestCompleteAssistant\RequestController.cs,25
AutoUATest\TCWeb\TestCompleteAssistant\SQLHelper.cs,151
AutoUATest\TCWeb\TestCompleteAssistant\Web References\CaseGeneratorWebReference\Reference.cs,244
AutoUATest\TCWeb\TestCompleteAssistantV2\DataValidation.cs,32
AutoUATest\TCWeb\TestCompleteAssistantV2\Web References\AccessDBWebService\Reference.cs,167
AutoUATest\TCWeb\TestCompleteAssistantV2\Workflow.cs,32
AutoUATest\TCWeb\Views\ActionEditor.aspx.cs,24
AutoUATest\TCWeb\Views\Assemble.aspx.cs,41
AutoUATest\TCWeb\Views\BulkCompareResultByMultiBaseline.aspx.cs,99
AutoUATest\TCWeb\Views\CaseMainSVB.aspx.cs,7
AutoUATest\TCWeb\Views\Clone.aspx.cs,15
AutoUATest\TCWeb\Views\CrossBaseLineBulkResult.aspx.cs,91
AutoUATest\TCWeb\Views\DlisCompareResult.aspx.cs,62
AutoUATest\TCWeb\Views\EditCase.aspx.cs,17
AutoUATest\TCWeb\Views\GetAllDailyExecutedTestCasesDivideByWorkflow.aspx.cs,11
AutoUATest\TCWeb\Views\NewTestCase.aspx.cs,15
AutoUATest\TCWeb\Views\SingleBaselineResult.aspx.cs,11
AutoUATest\TCWeb\Views\TestCasePerfMonitor.aspx.cs,8
AutoUATest\TCWeb\Views\TestCasePerformanceMonitor.aspx.cs,9
AutoUATest\TCWeb\Views\UpdatePerfReference.aspx.cs,9
AutoUATest\TCWeb\Views\Web References\Selfservice\Reference.cs,18
AutoUATest\UIATWeb\BaselineDataModelCompatibility\DataAccessor.cs,25
AutoUATest\UIATWeb\DBWebAPI\App_Start\BundleConfig.cs,20
AutoUATest\UIATWeb\DBWebAPI\Areas\HelpPage\ApiDescriptionExtensions.cs,25
AutoUATest\UIATWeb\DBWebAPI\Areas\HelpPage\HelpPageConfigurationExtensions.cs,64
AutoUATest\UIATWeb\DBWebAPI\Areas\HelpPage\SampleGeneration\HelpPageSampleGenerator.cs,224
AutoUATest\UIATWeb\DBWebAPI\Areas\HelpPage\SampleGeneration\HelpPageSampleKey.cs,75
AutoUATest\UIATWeb\DBWebAPI\Areas\HelpPage\SampleGeneration\ObjectGenerator.cs,374
AutoUATest\UIATWeb\DBWebAPI\Areas\HelpPage\XmlDocumentationProvider.cs,36
AutoUATest\UIATWeb\PerformanceTestExecWebAPI\Areas\HelpPage\ApiDescriptionExtensions.cs,25
AutoUATest\UIATWeb\PerformanceTestExecWebAPI\Areas\HelpPage\HelpPageConfigurationExtensions.cs,64
AutoUATest\UIATWeb\PerformanceTestExecWebAPI\Areas\HelpPage\SampleGeneration\HelpPageSampleGenerator.cs,224
AutoUATest\UIATWeb\PerformanceTestExecWebAPI\Areas\HelpPage\SampleGeneration\HelpPageSampleKey.cs,75
AutoUATest\UIATWeb\PerformanceTestExecWebAPI\Areas\HelpPage\SampleGeneration\ObjectGenerator.cs,374
AutoUATest\UIATWeb\PerformanceTestExecWebAPI\Areas\HelpPage\XmlDocumentationProvider.cs,8
AutoUATest\UIATWeb\TFSWebAPI\App_Start\BundleConfig.cs,20
AutoUATest\UIATWeb\TFSWebAPI\Areas\HelpPage\ApiDescriptionExtensions.cs,25
AutoUATest\UIATWeb\TFSWebAPI\Areas\HelpPage\HelpPageConfigurationExtensions.cs,64
AutoUATest\UIATWeb\TFSWebAPI\Areas\HelpPage\SampleGeneration\HelpPageSampleGenerator.cs,224
AutoUATest\UIATWeb\TFSWebAPI\Areas\HelpPage\SampleGeneration\HelpPageSampleKey.cs,75
AutoUATest\UIATWeb\TFSWebAPI\Areas\HelpPage\SampleGeneration\ObjectGenerator.cs,374
AutoUATest\UIATWeb\TFSWebAPI\Areas\HelpPage\XmlDocumentationProvider.cs,36
AutoUATest\UIATWeb\UIATChartControl\Chart.cs,9
AutoUATest\UIATWeb\UIATDataAccessLayer\DataAccessor.cs,337
AutoUATest\UIATWeb\UIATDataAccessLayer\PushBaselineToDB.cs,29
AutoUATest\UIATWeb\UIATDataAccessLayer\SqlConnectionUtility.cs,53
AutoUATest\UIATWeb\UIATLogicLayer.Tests\UIATResultAnalyserTest.cs,9
AutoUATest\UIATWeb\UIATLogicLayer\DataLogicProcessor.cs,29
AutoUATest\UIATWeb\UIATLogicLayer\Executor.cs,23
AutoUATest\UIATWeb\UIATLogicLayer\GetExcludedWorkflow.cs,34
AutoUATest\UIATWeb\UIATLogicLayer\GetExclutableWorkflow.cs,20
AutoUATest\UIATWeb\UIATLogicLayer\GetWorkflowRelatedTestCases.cs,9
AutoUATest\UIATWeb\UIATLogicLayer\MaxwellTFSBugHandler.cs,8
AutoUATest\UIATWeb\UIATLogicLayer\Model\Baseline\BaselineQuery.cs,10
AutoUATest\UIATWeb\UIATLogicLayer\Model\TestingQueue\TestJob.cs,10
AutoUATest\UIATWeb\UIATTestExecWeb\GetAllDailyExecutedTestCasesDivideByWorkflow.aspx.cs,11
AutoUATest\UIATWeb\UIATTestExecWeb\GetDailyExecutionCaseList.aspx.cs,8
AutoUATest\UIATWeb\UIATTestExecWeb\GetDailyExecutionCaseList_Refact.aspx.cs,8
AutoUATest\UIATWeb\UIATWeb\Administration.aspx.cs,49
AutoUATest\UIATWeb\UIATWeb\AutomationWebAPI.cs,23
AutoUATest\UIATWeb\UIATWeb\BaselineVersionParser.cs,8
AutoUATest\UIATWeb\UIATWeb\Default.Master.cs,16
AutoUATest\UIATWeb\UIATWeb\DetailResultList.aspx.cs,14
AutoUATest\UIATWeb\UIATWeb\LDAPAuth.cs,21
AutoUATest\UIATWeb\UIATWeb\Login.aspx.cs,8
AutoUATest\UIATWeb\UIATWeb\OnDemandRequestList.aspx.cs,38
AutoUATest\UIATWeb\UIATWeb\OnDemandTestRequest.aspx.cs,65
AutoUATest\UIATWeb\UIATWeb\Paginator.cs,28
AutoUATest\UIATWeb\UIATWeb\PerformanceReportsSub1.aspx.cs,9
AutoUATest\UIATWeb\UIATWeb\ResultEditor.aspx.cs,58
AutoUATest\UIATWeb\UIATWeb\TestCaseBugIdEditor.aspx.cs,105
AutoUATest\UIATWeb\UIATWeb\TestResult.aspx.cs,23
AutoUATest\Utility\AutoCompareDigitalData\LasReder.cs,24
AutoUATest\Utility\AutoGeneratePDFByTechlog\CompareDlisByTechlog.cs,8
AutoUATest\Utility\AutomationRobot\AutomationDataAccessorLayer\DVDataAccessor.cs,8
AutoUATest\Utility\AutomationRobot\AutomationDataAccessorLayer\SqlConnectionUtility.cs,71
AutoUATest\Utility\AutomationRobot\AutomationDataAccessorLayer\UIDataAccessor.cs,641
AutoUATest\Utility\AutomationRobot\AutomationLogicLayer\DVLogicProcessor.cs,35
AutoUATest\Utility\AutomationRobot\AutomationLogicLayer\UILogicProcessor.cs,39
AutoUATest\Utility\AutomationRobot\UIATDataAccessLayer\DataAccessor.cs,741
AutoUATest\Utility\AutomationRobot\UIATDataAccessLayer\PushBaselineToDB.cs,29
AutoUATest\Utility\AutomationRobot\UIATDataAccessLayer\SqlConnectionUtility.cs,71
AutoUATest\Utility\BulkDataCompareDetailResultHandler\ArgumentsParser.cs,9
AutoUATest\Utility\BulkDataCompareFinalResultHandler\ArgumentsParser.cs,9
AutoUATest\Utility\Common\SQLHelper.cs,44
AutoUATest\Utility\Common\Web References\SQLWebReference\Reference.cs,244
AutoUATest\Utility\CopyNotConfirmData\CompareDlis.cs,8
AutoUATest\Utility\CopyNotConfirmData\TechlogCompareAndPublish.cs,20
AutoUATest\Utility\CopyNotConfirmData\Web References\DataValiationResult\Reference.cs,401
AutoUATest\Utility\CreateCompareResult\Web References\DataValidationResult\Reference.cs,284
AutoUATest\Utility\DlisCompareAndAnalysis\CompareConfigXml.cs,53
AutoUATest\Utility\DlisCompareAndAnalysis\DlisCompareAndAnalysis.cs,56
AutoUATest\Utility\DlisCompareCommon\CompareConfigXml.cs,53
AutoUATest\Utility\DlisCompareCommon\DlisCompare.cs,70
AutoUATest\Utility\DVHub\Administration.aspx.cs,66
AutoUATest\Utility\DVHub\AutomationWebAPI.cs,23
AutoUATest\Utility\DVHub\AutomationWebAPIDataModel.cs,29
AutoUATest\Utility\DVHub\BaselineVersionParser.cs,8
AutoUATest\Utility\DVHub\BulkCrossBaseLineTrend.aspx.cs,31
AutoUATest\Utility\DVHub\BulkSameBaselineTrend.aspx.cs,31
AutoUATest\Utility\DVHub\CoreshieldResult.aspx.cs,20
AutoUATest\Utility\DVHub\DataValidationResult.asmx.cs,14
AutoUATest\Utility\DVHub\DetailContent.aspx.cs,40
AutoUATest\Utility\DVHub\FinalResultAnalyzer.cs,55
AutoUATest\Utility\DVHub\FinalResultTrend.aspx.cs,83
AutoUATest\Utility\DVHub\JA3FinalResult.aspx.cs,83
AutoUATest\Utility\DVHub\JA3Summary.aspx.cs,30
AutoUATest\Utility\DVHub\JA3VsRefDetailContent.aspx.cs,40
AutoUATest\Utility\DVHub\KeyToolSummary.aspx.cs,30
AutoUATest\Utility\DVHub\LDAPAuth.cs,21
AutoUATest\Utility\DVHub\Login.aspx.cs,8
AutoUATest\Utility\DVHub\OnDemandRequestList.aspx.cs,38
AutoUATest\Utility\DVHub\OnDemandTestRequest.aspx.cs,65
AutoUATest\Utility\DVHub\OnDemandTestResult.aspx.cs,20
AutoUATest\Utility\DVHub\Paginator.cs,28
AutoUATest\Utility\DVHub\ReportCommon.cs,23
AutoUATest\Utility\DVHub\ResultEditor.aspx.cs,25
AutoUATest\Utility\DVHub\TestCaseBugIdEditor.aspx.cs,113
AutoUATest\Utility\GetBaselineNumber\Web References\DataValidationResult\Reference.cs,492
AutoUATest\Utility\NeedToCompareBulkData\Web References\DataValidationResultService\Reference.cs,113
AutoUATest\Utility\PublishAndClearance\Web References\DataValidationResult\Reference.cs,353
AutoUATest\Utility\SetUp\Web References\DataValidationResult\Reference.cs,268
AutoUATest\Utility\UpdateChannelsInfo\UpdateChannelsDataBase.cs,20
AutoUATest\Utility\UpdateRunningResult\Web References\DataValidationResultService\Reference.cs,235
AutoUATest\Utility\UpdateToolConfig\Web References\DataValidationResult\Reference.cs,750
AutoUATest\Utility\UpdateValidationJob\Web References\DataValidationResult\Reference.cs,789
AutoUATest\WebService\ToolExcludedWebService\App_Start\BundleConfig.cs,20
AutoUATest\WebService\ToolExcludedWebService\Areas\HelpPage\ApiDescriptionExtensions.cs,25
AutoUATest\WebService\ToolExcludedWebService\Areas\HelpPage\HelpPageConfigurationExtensions.cs,64
AutoUATest\WebService\ToolExcludedWebService\Areas\HelpPage\SampleGeneration\HelpPageSampleGenerator.cs,224
