Project Name,Checkpoint Name,Created On,File Name,Lines,Statements,Percent Comment Lines,Percent Documentation Lines,"Classes, Interfaces, Structs",Methods per Class,Calls per Method,Statements per Method,Line Number of Most Complex Method*,Name of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Models\AnalysisResult.cs,124,107,0.0,0.0,4,7.25,0.93,1.10,38,Job.Equals(object obj),4,8,3,1.64,1.30,7,29,66,5,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Models\DumpResult.cs,14,21,0.0,0.0,1,6.00,0.00,0.00,7,DumpResult.SystemUptime.set(),1,7,2,1.43,1.00,3,6,12,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Models\ExceptionResult.cs,23,30,0.0,0.0,1,9.00,0.00,0.22,7,ExceptionResult.Links.set(),1,13,2,1.50,1.00,3,9,18,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Models\ProcessResult.cs,16,32,0.0,0.0,1,10.00,0.00,0.00,5,ProcessResult.ManageCallstack.set(),1,5,2,1.56,1.00,2,10,20,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Models\ProductResult.cs,12,17,0.0,0.0,1,5.00,0.00,0.00,6,ProductResult.Job.set(),1,6,2,1.47,1.00,2,5,10,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsAPI\Models\UploadResult.cs,11,12,0.0,0.0,1,3.00,0.00,0.00,7,UploadResult.FileLength.set(),1,7,2,1.25,1.00,3,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsApiModels\AnalysisResult.cs,104,106,1.0,0.0,4,7.50,0.60,0.77,38,External.Equals(object obj),4,8,3,1.62,1.19,7,30,65,4,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsApiModels\AssemblyInfo.cs,36,15,47.2,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsApiModels\DumpResult.cs,14,21,0.0,0.0,1,6.00,0.00,0.00,7,DumpResult.SystemUptime.set(),1,7,2,1.43,1.00,3,6,12,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsApiModels\ExceptionResult.cs,23,30,0.0,0.0,1,9.00,0.00,0.22,7,ExceptionResult.Links.set(),1,13,2,1.50,1.00,3,9,18,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsApiModels\ProcessResult.cs,16,32,0.0,0.0,1,10.00,0.00,0.00,5,ProcessResult.ManageCallstack.set(),1,5,2,1.56,1.00,2,10,20,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsApiModels\ProductResult.cs,12,13,0.0,0.0,1,3.00,0.00,0.00,8,ProductResult.Job.set(),1,8,2,1.15,1.00,4,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\AnalyticsApiModels\UploadResult.cs,11,12,0.0,0.0,1,3.00,0.00,0.00,7,UploadResult.FileLength.set(),1,7,2,1.25,1.00,3,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudModule_MsTest\testCalculator.cs,123,83,1.6,0.0,2,6.00,4.42,4.33,13,testCalculator.testGetQuatAndMonthMBTFWhenInputYearReturnYearMTBF(),1,15,2,1.49,1.00,11,20,52,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudModule_MsTest\Properties\AssemblyInfo.cs,36,15,47.2,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudService_MsTest\MBTFServiceTest.cs,97,43,6.2,0.0,2,3.50,2.43,3.00,15,TestCalc.ICalculator.GetBaselines(),1,17,2,1.23,1.00,11,11,21,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudService_MsTest\Properties\AssemblyInfo.cs,36,15,47.2,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Hosting\Program.cs,11,6,0.0,0.0,1,0.00,0.00,0.00,,,0,9,1,0.17,0.00,5,1,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Hosting\Startup.cs,78,50,0.0,0.0,1,10.00,2.20,2.90,18,"Startup.Configure(IApplicationBuilder app, IHostingEnvironment env, ILoggerFactory loggerFactory)",1,34,4,1.56,1.00,14,5,22,7,2,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Hosting\Controllers\MTBFController.cs,68,48,0.0,0.0,1,4.00,4.50,6.00,43,"MTBF.GetResult(string baselines ,string workflows,string jobSources)",6,58,4,1.50,2.75,8,14,21,4,1,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Hosting\Controllers\MTBFWinchsafeController.cs,54,38,0.0,0.0,1,3.00,4.00,6.00,32,"MTBFWinchsafe.GetResult(string baselines, string jobSources)",5,45,4,1.45,2.67,8,10,16,3,1,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Hosting\Controllers\RawController.cs,48,31,0.0,0.0,1,3.00,4.00,4.33,22,Raw.CheckandDownload(string fileName),3,26,3,1.23,2.33,8,10,11,2,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\Calculator.cs,200,110,1.5,0.0,3,6.00,3.94,3.67,134,"Calculator.GetSQLStr(string[] baselines, string[] workflows, string jobSource)",5,127,4,1.80,1.43,14,20,51,24,1,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\CalculatorHelper.cs,26,17,0.0,0.0,1,2.00,6.50,6.00,6,"CalculatorHelper.CheckByQuaterAndMonth(string quater, int month, MTBFDataRow i)",1,8,2,1.53,1.00,3,2,12,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\DTO.cs,57,59,1.8,0.0,5,3.40,0.00,0.00,9,RawDetail.FileType.set(),1,9,2,1.44,1.00,8,17,34,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\GCPMySQLAccessor.cs,56,33,0.0,0.0,1,3.00,2.33,7.67,12,GCPMySQLAccessor.MyConn(),4,24,4,1.94,2.33,5,5,11,11,1,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\MWCalculator.cs,268,125,1.1,0.0,1,10.00,9.50,10.30,43,MWCalculator.GetWorkflowTypeSQLStr(string[] workflows),7,57,5,2.06,3.40,10,12,71,26,4,2,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\MySQLAccessor.cs,61,36,1.6,0.0,1,3.00,2.33,7.33,18,MySQLAccessor.MyConn(),3,30,4,1.67,2.00,10,4,11,10,1,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\RawFileInfo.cs,120,58,5.0,0.0,2,1.00,11.00,21.50,70,RawFileInfo.checkanddownload(string fileName),6,32,3,1.72,4.50,12,3,32,11,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\WinchsafeCalculator.cs,150,77,1.3,0.0,1,7.00,8.14,8.43,80,"WinchsafeCalculator._MTBF_(EnumerableRowCollection<MTBFDataRow> DT, string year, string quater, int month)",5,37,3,1.78,2.43,11,7,47,12,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\Properties\AssemblyInfo.cs,37,16,45.9,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,16,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Models\mtbfDto.cs,33,31,0.0,0.0,4,2.00,0.00,0.00,9,Detail.Mtbf.set(),1,9,2,1.29,1.00,7,8,16,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Properties\AssemblyInfo.cs,36,15,47.2,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Services\IMBTFService.cs,14,9,0.0,0.0,1,0.00,0.00,0.00,,,0,1,0,0.00,0.00,9,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Services\IRawService.cs,12,7,0.0,0.0,1,0.00,0.00,0.00,,,0,1,0,0.00,0.00,7,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Services\MBTFService.cs,55,20,0.0,0.0,2,3.00,1.50,0.83,11,mbtfWinchsafeService.mbtfWinchsafeService(WinchsafeCalculator calc),1,13,2,0.85,1.00,8,7,5,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Services\RawService.cs,36,16,0.0,0.0,1,3.00,2.00,1.00,14,RawService.checkanddownload(string fileName),1,16,2,0.63,1.00,9,4,3,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\LocalDumpAnalysis\AboutBox.cs,105,53,0.0,0.0,1,7.00,3.29,4.29,29,AboutBox.AssemblyTitle.get(),3,37,5,2.08,1.86,10,7,13,16,6,1,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\LocalDumpAnalysis\AboutBox.Designer.cs,186,131,14.5,5.4,1,2.00,12.50,59.00,13,AboutBox.Dispose(bool disposing),3,17,3,1.89,2.00,2,11,117,1,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\LocalDumpAnalysis\AssemblyInfo.cs,35,14,48.6,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,14,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\LocalDumpAnalysis\DumpReporter.cs,276,171,0.0,0.0,2,8.00,7.19,8.25,223,"DumpReporter.InsertChildrenIntoElement(HtmlDocument document, HtmlElement element, string html)",11,244,6,2.21,3.00,13,20,87,32,10,6,3,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\LocalDumpAnalysis\MainForm.cs,234,156,0.0,0.0,1,16.00,3.81,7.81,95,"MainForm.OnLoadClick(object sender, EventArgs e)",9,39,4,1.99,3.00,8,23,94,25,6,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\LocalDumpAnalysis\MainForm.Designer.cs,287,179,23.0,3.8,1,2.00,13.00,77.00,16,MainForm.Dispose(bool disposing),3,20,3,1.85,2.00,3,22,153,1,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\LocalDumpAnalysis\Program.cs,19,9,0.0,15.8,1,1.00,3.00,3.00,12,Program.Main(),1,14,2,0.89,1.00,4,2,3,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\LogOperationExtractor\AssemblyInfo.cs,36,15,47.2,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\LogOperationExtractor\Program.cs,107,42,44.9,0.0,1,1.00,28.00,31.00,14,Program.Main(string[] args),11,27,5,2.45,11.00,10,1,7,10,12,2,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\ShipSQLServerToMySQL\AssemblyInfo.cs,35,14,48.6,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,14,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\ShipSQLServerToMySQL\Program.cs,221,175,0.5,0.0,1,8.00,17.50,18.75,94,"Program.InsertNewRecordToTable(string name, List<string> columns)",6,104,4,2.22,3.56,11,13,95,38,18,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\Applications\ShipSQLServerToMySQL\ShipDatabaseSettings.cs,53,54,0.0,0.0,4,3.50,0.00,0.29,9,ShipObjectSetting.ShipObjectSetting(),1,9,2,1.33,1.00,8,20,26,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\AssemblyInfo.cs,36,15,47.2,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\DumpContextAnalyzer.cs,256,163,3.1,0.0,1,12.00,5.83,11.75,47,"DumpContextAnalyzer.Analyze(AnalyticsContext analytics, ProductDescription permission, DumpInformationDescription description)",8,35,6,2.28,4.17,10,12,88,38,8,5,2,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\DumpContextConfiguration.cs,11,12,0.0,0.0,1,3.00,0.00,0.00,7,DumpContextConfiguration.ProductName.set(),1,7,2,1.25,1.00,3,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\DumpSourceAnalyzer.cs,62,39,0.0,0.0,2,2.00,3.75,5.25,36,"DumpSourceAnalyzer.AnalyzeDumpSource(AnalyticsContext analytics, SourceIdentity source)",5,30,4,1.97,1.83,9,3,10,14,3,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\DumpSourceConfiguration.cs,10,9,0.0,0.0,1,2.00,0.00,0.00,7,DumpSourceConfiguration.AnalyticsDatabase.set(),1,7,2,1.11,1.00,3,2,4,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogCrashAnalyzer.cs,185,131,0.0,0.0,1,8.00,9.25,14.13,70,"LogCrashAnalyzer.AnalyzeCrashInformation(AnalyticsContext analytics, ProductDescription product, JobDescription job, LogRowInfo info)",18,41,4,2.29,6.38,10,8,61,38,14,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogCrashConfiguration.cs,9,11,0.0,0.0,1,3.00,0.00,0.00,5,LogCrashConfiguration.DumpNameInContext.set(),1,5,2,1.36,1.00,2,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogCrashOperationAnalyzer.cs,185,118,0.0,0.0,1,7.00,7.14,14.14,68,"LogCrashOperationAnalyzer.AnalyzeCrashOperationInformation(AnalyticsContext analytics, JobDescription job, string[] rows)",9,87,5,2.55,5.43,12,7,38,30,27,4,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogCrashOperationConfiguration.cs,15,16,0.0,0.0,1,3.00,0.00,0.00,11,LogCrashOperationConfiguration.DumpNameInContext.set(),1,11,2,0.94,1.00,7,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogFeatureAnalyzer.cs,202,132,0.0,0.0,1,10.00,7.00,11.20,61,"LogFeatureAnalyzer.AnalyzeFeatureInformation(AnalyticsContext analytics, JobDescription job, IEnumerable<string> rows)",16,156,5,2.64,6.20,10,10,29,53,28,2,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogFeatureConfiguration.cs,14,11,0.0,0.0,1,1.00,0.00,0.00,12,LogFeatureConfiguration.AnalyticsDatabase.set(),1,12,2,0.45,1.00,8,1,2,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogJobRunAnalyzer.cs,278,193,0.0,0.0,2,7.00,7.00,11.29,148,"LogJobRunAnalyzer.AnalyzeStartJobRow(AnalyticsContext analytics, ProductDescription product, LogRowInfo info, JobDescription job)",18,48,5,2.48,5.00,12,11,73,73,18,6,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogJobRunConfiguration.cs,11,12,0.0,0.0,1,3.00,0.00,0.00,7,LogJobRunConfiguration.ProductName.set(),1,7,2,1.25,1.00,3,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogToolAnalyzer.cs,173,115,0.6,0.0,1,7.00,9.14,13.86,62,"LogToolAnalyzer.AnalyzeToolListInformation(AnalyticsContext analytics, JobDescription job, IEnumerable<string> rows)",13,81,5,2.70,6.71,11,7,22,44,27,4,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\LogToolConfiguration.cs,14,11,0.0,0.0,1,1.00,0.00,0.00,12,LogToolConfiguration.AnalyticsDatabase.set(),1,12,2,0.45,1.00,8,1,2,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\TfsConfiguration.cs,10,9,0.0,0.0,1,2.00,0.00,0.00,7,TfsConfiguration.AnalyticsDatabase.set(),1,7,2,1.11,1.00,3,2,4,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks\TfsLookup.cs,191,115,0.0,0.0,1,10.00,7.10,9.30,16,TfsLookup.ExecuteTaskInternal(),11,36,7,2.65,3.80,12,10,41,25,10,7,7,3,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks_MsTest\AssemblyInfo.cs,36,15,47.2,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks_MsTest\TestDumpContextAnalyzer.cs,266,79,0.0,0.0,2,3.50,3.14,6.86,256,Testable.BuildContext<T>(string initializer),3,252,3,1.54,1.29,16,11,45,7,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks_MsTest\TestDumpSourceAnalyzer.cs,81,50,0.0,0.0,2,3.00,3.83,4.33,71,Testable.BuildContext<T>(string initializer),3,67,3,1.54,1.33,10,10,23,7,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks_MsTest\TestLogCrashAnalyzer.cs,99,62,0.0,0.0,2,3.00,4.00,6.50,89,Testable.BuildContext<T>(string initializer),3,85,3,1.66,1.33,9,10,36,7,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks_MsTest\TestLogCrashOperationAnalyzer.cs,282,123,2.8,0.0,2,6.50,7.85,6.46,21,TestLogCrashOperationAnalyzer.TestLaunchLogCrashOperationAnalyzerWithDataCheck(),5,52,4,2.06,1.85,16,20,32,51,4,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks_MsTest\TestLogFeatureAnalyzer.cs,83,51,0.0,0.0,2,3.00,3.50,4.67,73,Testable.BuildContext<T>(string initializer),3,69,3,1.59,1.33,9,10,25,7,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks_MsTest\TestLogJobRunAnalyzer.cs,219,141,2.3,0.0,2,7.50,7.00,6.47,209,Testable.BuildContext<T>(string initializer),3,205,3,1.67,1.13,13,27,94,7,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks_MsTest\TestLogToolAnalyzer.cs,118,72,0.0,0.0,2,5.00,3.70,4.00,108,Testable.BuildContext<T>(string initializer),3,104,3,1.57,1.20,10,18,37,7,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\ContextTasks_MsTest\TestTfsLookcup.cs,129,63,1.6,0.0,2,4.00,5.50,4.75,22,TestTfsLookcup.TestQueryTFSWithDataCheck(),14,27,3,1.78,2.88,10,11,25,17,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\FileTasks\AssemblyInfo.cs,36,15,47.2,0.0,0,0.00,0.00,0.00,,,0,1,0,0.00,0.00,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\FileTasks\DumpContentAnalyzer.cs,135,94,0.0,0.0,1,6.00,8.50,12.50,35,DumpContentAnalyzer.Handle(object state),6,69,4,1.93,3.33,12,7,53,20,2,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\FileTasks\DumpContentConfiguration.cs,17,27,0.0,0.0,1,8.00,0.00,0.00,7,DumpContentConfiguration.DriverZ.set(),1,7,2,1.48,1.00,3,8,16,0,0,0,0,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\FileTasks\FileStateCollector.cs,441,228,1.1,0.0,3,4.33,9.85,14.38,108,"FileStateCollector.UpdateTimeInformation(FileStateDescription state, LogInformation information)",17,59,6,2.42,6.08,11,16,108,61,25,6,1,0,0,0
temp_horizon_csharp,source,12 Apr 2017,Analytics\SystemBehavior\DataAnalyzer\FileTasks\FileStateConfiguration.cs,15,14,0.0,0.0,1,3.00,0.00,0.00,8,FileStateConfiguration.LogLocations.set(),1,8,2,1.14,1.00,4,4,6,0,0,0,0,0,0,0
