"Name","Count"
"HzApplications\MDT\MdtUICommon\CoreImpl\MdtFwk_Channel.cs","50"
"HzApplications\MDT\MdtUICommon\CoreImpl\MdtFwk_CustomUI_Utility.cs","5"
"HzApplications\MDT\MdtUICommon\CoreImpl\Mdt_CustomUIBase.cs","4"
"HzApplications\MRX\CustomUI\MRX_CommonDataType.cs","2"
"HzApplications\MSPT\UIs\MSPTTooProtectionUI\MSPTTPUI.cs","17"
"HzApplications\MSPT\UIs\MSPT_PressureCaliUI\ChanRepCreator.cs","7"
"HzApplications\MSPT\UIs\MSPT_PressureCaliUI\MSPT_PressureCaliUI.cs","2"
"HzApplications\MSPT\UIs\MSPT_PressureCaliUI\MSPT_PressureCaliUtil.cs","2"
"HzApplications\PERFO\Common\CustomUI\Models\PerfoCustomUIBaseModel.cs","1"
"HzApplications\PERFO\Common\CustomUI\Models\PerforateTaskUIModelBase.cs","4"
"HzApplications\PERFO\Common\CustomUI\CCLUtil.cs","1"
"HzApplications\PERFO\Common\CustomUI\PerfoCommon.cs","37"
"HzApplications\PERFO\MPBT\CustomUI\Common\MPBTCommon.cs","10"
"HzApplications\PERFO\MPBT\CustomUI\Deliverables\MPBTPlugSummaryDataProvider.cs","9"
"HzApplications\PERFO\MPBT\CustomUI\Deliverables\MPBTPlugSummaryViewer.cs","1"
"HzApplications\PERFO\MPBT\CustomUI\MPBTGraphicalPositionUI.cs","2"
"HzApplications\PERFO\MPBT\CustomUI\MPBTToolBar.cs","9"
"HzApplications\PERFO\MPBT\CustomUI\SetPositionUI.cs","2"
"HzApplications\PERFO\PerfoTools\PerfoUIP\Models\GunLayoutModel.cs","4"
"HzApplications\PERFO\PerfoTools\PerfoUIP\Models\PerforationModel.cs","2"
"HzApplications\PERFO\PerfoTools\PerfoUIP\Models\ShootPositionModel.cs","3"
"HzApplications\PERFO\PerfoTools\PerfoUIP\PerfoExpress\Utilities\HzParameterAccessor.cs","23"
"HzApplications\PERFO\PerfoTools\PerfoUIP\PerfoExpress\EntityInfoEx.cs","2"
"HzApplications\PERFO\PerfoTools\PerfoUIP\PerfoExpress\PerfoExpModel.cs","18"
"HzApplications\PERFO\PerfoTools\PerfoUIP\ASQueryTaskUI.cs","1"
"HzApplications\PERFO\PerfoTools\PerfoUIP\ClientRequestedIntervalsUI.cs","8"
"HzApplications\PERFO\PerfoTools\PerfoUIP\PerfoCustomTableDataProvider.cs","32"
"HzApplications\PERFO\PerfoTools\PerfoUIP\PerfoCustomTableViewer.cs","1"
"HzApplications\PERFO\PerfoTools\PerfoUIP\PerfoToolBar.cs","4"
"HzApplications\PERFO\PerfoTools\PerfoUIP\ShootPosition.cs","8"
"HzApplications\PEX\HDRS_WaveformViewer\WvHDRS_TM.cs","20"
"HzApplications\PEX\HGNS_PlateauUI\HGNS_PlateauPlot.cs","1"
"HzApplications\PEX\HGNS_PlateauUI\HGNS_PlateauUI.cs","1"
"HzApplications\PEX\HRGD_LogPlugIn\HRGD_LQCFlagCustomUI.cs","8"
"HzApplications\PL\PLCustomReport\PLCustomTable.cs","65"
"HzApplications\PL\PLCustomUI\PLOutputTable\PLOutputTable.cs","17"
"HzApplications\PL\PLCustomUI\PLOutputTableWS\PLOutputTableWS.cs","22"
"HzApplications\PL\PLCustomUI\PLPerfoEditor\PLPerfoEditor.cs","7"
"HzApplications\PL\PLDeliverables\PLDelivTableDAssignEditorForm.cs","10"
"HzApplications\PL\PLDeliverables\PLDelivTableFormatEditor.cs","6"
"HzApplications\PL\PLDeliverables\PLDelivTableProperty.cs","12"
"HzApplications\PL\PLDeliverables\PLDelivTableView.cs","13"
"HzApplications\PL\PLDeliverables\PLSpinCalibTableView.cs","3"
"HzApplications\PL\PLDeliverables\PLSummaryRecTableView.cs","4"
"HzApplications\PL\PL_CustomTables\PLXPRESSCustomTableProperty.cs","1"
"HzApplications\PL\PL_CustomTables\PLXPRESS_FlowRatesMultiPassTableDataProvider.cs","43"
"HzApplications\PL\PL_CustomTables\PLXPRESS_FlowRatesMultiPassTableViewer.cs","20"
"HzApplications\PL\PL_CustomTables\PLXPRESS_HeaderTableDataProvider.cs","54"
"HzApplications\PL\PL_CustomTables\PLXPRESS_HeaderTableViewer.cs","2"
"HzApplications\PL\PL_CustomTables\PLXPRESS_SpinnerTableDataProvider.cs","31"
"HzApplications\PL\PL_CustomTables\PLXPRESS_SpinnerTableViewer.cs","2"
"HzApplications\PL\Shared\PLCalibrationPlot\CalibrationInteraction.cs","2"
"HzApplications\PL\Shared\PLCalibrationPlot\CalPlotWS.cs","32"
"HzApplications\PL\Shared\PLCalibrationPlot\PLCalibrationPlot.cs","2"
"HzApplications\PPC\UI\BoreholeGraphics\BoreholeGraphicsPlugin.cs","1"
"HzApplications\PPC\UI\BoreholeGraphics\BorehoreGraphicsWLD.cs","26"
"HzApplications\PPC\UI\ToolPosition\ToolPosForm.cs","13"
"HzApplications\PSP_PL\FlowTools\FlowToolsWaveformViewer\PSPFlowTools_TM.cs","25"
"HzApplications\PSP_PL\FSIT\FSIT_AP_MonitorBox\FSIT_AP_MonitorBox.cs","16"
"HzApplications\PSP_PL\FSIT\WaveformViewer\CommonBase_TM.cs","1"
"HzApplications\PSP_PL\FSIT\WaveformViewer\FSIT_TM.cs","5"
"HzApplications\PSP_PL\PMIT\CustomTables\PMIT_CustomTableProperty.cs","1"
"HzApplications\PSP_PL\PMIT\CustomTables\PMIT_FingerOffsetTableDataProvider.cs","27"
"HzApplications\PSP_PL\PMIT\CustomTables\PMIT_FingerOffsetTableViewer.cs","2"
"HzApplications\PSP_PL\PMIT\FingersCorrectionsUI\PMIT_FCUI_LapHelper.cs","9"
"HzApplications\PSP_PL\PMIT\FingersCorrectionsUI\PMIT_FCUI_Offset_Helper.cs","6"
"HzApplications\PSP_PL\PMIT\FingersCorrectionsUI\PMIT_FCUI_Wear_Helper.cs","21"
"HzApplications\PSP_PL\PMIT\FingersCorrectionsUI\PSP_PMIT_FingersCorrectionsUI.cs","8"
"HzApplications\PSP_PL\PMIT\MasterCalibrationUI\MasterCalibrationCustomUI.cs","29"
"HzApplications\PSP_PL\PMIT\XyzPlotTransformationModule\XyzPlotUtility.cs","24"
"HzApplications\PSP_PL\POST\CustomTables\CPSSampleReportTableDataProvider.cs","24"
"HzApplications\PSP_PL\POST\CustomTables\CPSSampleReportTableViewer.cs","2"
"HzApplications\PSP_PL\POST\CustomTables\CustomTableProperty.cs","1"
"HzApplications\PSP_PL\POST\CustomTables\POSSSampleReportTableDataProvider.cs","25"
"HzApplications\PSP_PL\POST\CustomTables\POSSSampleReportTableViewer.cs","2"
"HzApplications\PSP_PL\PRMC\UIClient\ProgErase.cs","7"
"HzApplications\PSP_PL\PRMC\UIClient\Programming.cs","7"
"HzApplications\PSP_PL\PRMC\UIClient\PSPRUIBaseClass.cs","4"
"HzApplications\PSP_PL\PRMC\UIClient\ReadMemory.cs","2"
"HzApplications\PSP_PL\PRMC\UIClient\SensorsCheck.cs","6"
"HzApplications\PSP_PL\PRMC\UIClient\SensorsCheckUI.cs","1"
"HzApplications\SLDT\SLDT_WaveformViewer\SLDT_WaveformTransformationModule.cs","18"
"HzApplications\SLDT\Task_UI\QLDT_CalibrationHistory.cs","1"
"HzApplications\SLDT\Task_UI\QLDT_CalibrationList.cs","1"
"HzApplications\Sonic\Setup\Sonic_Setup\Computation.cs","2"
"HzApplications\Sonic\Setup\Sonic_Setup\ConfigXML.cs","10"
"HzApplications\Sonic\Setup\Sonic_Setup\Measurement.cs","3"
"HzApplications\Sonic\Setup\Sonic_Setup\Service.cs","4"
"HzApplications\Sonic\Sonic_DataAccessUtility\SonicChannelAccessUtility.cs","18"
"HzApplications\Sonic\Sonic_DataAccessUtility\SonicCustomUIBase.cs","3"
"HzApplications\Sonic\Sonic_DataAccessUtility\SonicDarAccessUtility.cs","7"
"HzApplications\Sonic\Sonic_DataAccessUtility\SonicEnsembleAccessUtility.cs","15"
"HzApplications\Sonic\Sonic_DataAccessUtility\SonicIntervalSetAccessUtility.cs","9"
"HzApplications\Sonic\Sonic_DataAccessUtility\SonicLAPAccessUtility.cs","26"
"HzApplications\Sonic\Sonic_DataAccessUtility\SonicMeasurePointAccessUtility.cs","7"
"HzApplications\Sonic\Sonic_DataAccessUtility\SonicParameterAccessUtility.cs","14"
"HzApplications\Sonic\Sonic_DataAccessUtility\SonicUIHelper.cs","4"
"HzApplications\Sonic\Sonic_WaveformVierwer\Sonic_TMBase.cs","1"
"HzApplications\Tractors\XTRAB\CustomUI2\ToolHelper.cs","31"
"HzApplications\Tractors\XTRAB\CustomUI2\XtrabTractorUI.cs","1"
"HzApplications\Ultrasonics\Common\USIT_SharedUIComponent\DscLapPassParameterReader.cs","17"
"HzApplications\Ultrasonics\Common\USIT_SharedUIComponent\DscReadLockFactory.cs","1"
"HzApplications\Ultrasonics\Common\USIT_SharedUIComponent\DscRepresentationArrayFloatFactory.cs","14"
"HzApplications\Ultrasonics\Common\USIT_SharedUIComponent\ParameterReader.cs","9"
"HzApplications\Ultrasonics\Common\USIT_SharedUIComponent\ReadLockFactory.cs","1"
"HzApplications\Ultrasonics\Common\USIT_SharedUIComponent\RepresentationArrayFloatFactory.cs","2"
"HzApplications\Ultrasonics\Common\USIT_SharedUIComponent\USITVerticalResolutionReader.cs","1"
"HzApplications\Ultrasonics\Common\USIT_SharedUIComponent\USITVerticalResolutionReaderFactory.cs","1"
"HzApplications\Ultrasonics\Common\USIT_SharedUIComponent\VerticalResolutionReaderFactory.cs","1"
"HzApplications\Ultrasonics\CustomUI\CFVLCZMDPreview\USIIBC_CustomUI_CFVLCZMDPreview.cs","1"
"HzApplications\Ultrasonics\CustomUI\Common\USIT_CustomUI_Base.cs","1"
"HzApplications\Ultrasonics\CustomUI\Common\USIT_CustomUI_OneZone.cs","1"
"HzApplications\Ultrasonics\CustomUI\Common\USIT_LgPlugin_OneZoneCore.cs","1"
"HzApplications\Ultrasonics\CustomUI\Common\USIT_LogPluginMultiResolutionCurveHelper.cs","10"
"HzApplications\Ultrasonics\CustomUI\Common\USIT_UIServer_OneZone.cs","15"
"HzApplications\Ultrasonics\CustomUI\FPMPlugin\USIT_FPMCustomUI_Server.cs","4"
"HzApplications\Ultrasonics\CustomUI\FPMPlugin\USIT_FPMPasses.cs","29"
"HzApplications\Ultrasonics\CustomUI\FPMPlugin\USIT_GridControl_FPMPlugin.cs","1"
"HzApplications\Ultrasonics\CustomUI\FPMPlugin\USIT_LgPlugin_FPMZoningCore.cs","1"
"HzApplications\Ultrasonics\CustomUI\GraphLine\USIT_LgPlugin_GraphLine.cs","1"
"HzApplications\Ultrasonics\CustomUI\IBCCalibration\IBC_CustomUI_Calibration.cs","4"
"HzApplications\Ultrasonics\CustomUI\IBCSLGMapAcqConsole\AcqConsoleUIDataProviderAdapter.cs","1"
"HzApplications\Ultrasonics\CustomUI\IBCSLGMapAcqConsole\IBC_SLGMap_AcqConsole.cs","6"
"HzApplications\Ultrasonics\CustomUI\PredictedEcho\Common_PredictEcho.cs","12"
"HzApplications\Ultrasonics\CustomUI\PredictedEcho\UBI_CustomUI_PredictEcho.cs","1"
"HzApplications\Ultrasonics\CustomUI\PredictedEcho\UCI_CustomUI_PredictEcho.cs","1"
"HzApplications\Ultrasonics\CustomUI\PredictedEcho\USI_CustomUI_PredictEcho.cs","1"
"HzApplications\Ultrasonics\CustomUI\Preview\DataProvider.cs","1"
"HzApplications\Ultrasonics\CustomUI\Preview\DataProviderAdapter.cs","1"
"HzApplications\Ultrasonics\CustomUI\Preview\IBC_CustomUI_DFPreview.cs","2"
"HzApplications\Ultrasonics\CustomUI\WinbWinePlugin\USIT_LgPlugin_WINBWINE.cs","17"
"HzApplications\Ultrasonics\CustomUI\XYZPlotCommon\USIT_IXYZDataManager.cs","1"
"HzApplications\Ultrasonics\CustomUI\XYZPlotCommon\XYZPlotFormat.cs","5"
"HzApplications\Ultrasonics\USIT_CustomTables\CustomTableProperty.cs","1"
"HzApplications\Ultrasonics\USIT_CustomTables\InterpolationZoneTableDataProvider.cs","18"
"HzApplications\Ultrasonics\USIT_CustomTables\InterpolationZoneTableViewer.cs","2"
"HzApplications\Ultrasonics\USIT_CustomTables\USITUtility.cs","2"
"HzApplications\Ultrasonics\USIT_WaveformViewer\IBC_PanelControlModule.cs","1"
"HzApplications\Ultrasonics\USIT_WaveformViewer\ManageDscCollection.cs","30"
"HzApplications\Ultrasonics\USIT_WaveformViewer\USI_PanelControlModule.cs","1"
"HzApplications\Ultrasonics\USIT_WaveformViewer\WvIBC_TM.cs","1"
"HzApplications\Ultrasonics\USIT_WaveformViewer\WvUBI_TM.cs","1"
"HzApplications\Ultrasonics\USIT_WaveformViewer\WvUCI_TM.cs","1"
"HzApplications\Ultrasonics\USIT_WaveformViewer\WvUSIT_TM.cs","1"
"HzApplications\Ultrasonics\USIT_WaveformViewer\WvUSI_TM.cs","1"
"HzApplications\Ultrasonics\USIT_WaveformViewer\WVUtilities.cs","8"
"HzApplications\Ultrasonics\USIT_XyZPlotTransformationModule\SLGContourMapXYZPlot\IndexFinder.cs","2"
"HzApplications\Ultrasonics\USIT_XyZPlotTransformationModule\SLGContourMapXYZPlot\ParameterReaderAdapter.cs","1"
"HzApplications\Ultrasonics\USIT_XyZPlotTransformationModule\SLGContourMapXYZPlot\SLGContourPlotTMController.cs","2"
"HzApplications\Ultrasonics\USIT_XyZPlotTransformationModule\SLGContourMapXYZPlot\XYZTMDataProvider.cs","2"
